Product Name,final_text
Informix 4GL,informixgl gl programming language developed informix mids
Informix SQL,ibm informix embeddable highperformance database integrating sql nosql json timeseries spatial
Integration Designer,integration designer formerly ibm websphere integration developer delivers tool visually constructing transformation process execution language bpel orchestration integration application source system
OpenShift,red hat openshift ibm fully managed openshiftservice leverage enterprise scale security ibm focus developing managing application deploy highly available openshift cluster asaservice click button ibm
Rational App Dev,rational application developer websphere software commercial eclipsebased integrated development environment ide
Rational TestManager,ibm rational testmanager used manage aspect testing source information related testing effort throughout phase software development project rational testmanager central console test activity management execution reporting built extensibility support everything pure manual test approach various automated paradigm including unit testing functional regression testing performance testing rational testmanager meant accessed member project team ensuring high visibility test coverage information defect trend application readinessif
Reactive Platform,reactive application development framework runtime building deploying native application
Red Hat Ansible Tower,ansible opensource software provisioning configuration management applicationdeployment tool enabling infrastructure code run many unixlike system configure unixlike system well microsoft window includes declarative language describe system configuration
Red Hat Ansible Tower,ansible opensource software provisioning configuration management applicationdeployment tool enabling infrastructure code run many unixlike system configure unixlike system well microsoft window includes declarative language describe system configuration
UrbanCode,urbancode deploy application release automation combine robust visibility traceability auditing capability allows deploy application distributed center virtualized environment
iBwave Design,ibwave design recognized worldwide software standard designing indoor wireless network
Jenkins,jenkins opensource automation tool written java plugins built continuous integration purpose jenkins used build test software project continuously making easier developer integrate change project making easier user obtain fresh build
JFROG Platform,fully automated devops distributing trusted software release code production jfrog artifactory isa universal devops providing endtoend automation management binary artifact application delivery process improves productivity across development ecosystem
Visual Studio,microsoft visual studio integrated development environment microsoft used develop computer program well website web apps web mobile apps visual studio standard subscription formerly msdn subscription allow development team member install use software design develop test evaluate demonstrate software visual studio software licensed production environment visual studio msdn licensed per user basis visual studio come version standard enterprise pro
NeoLoad,neoload automated performance testing enterprise organization continuously testing apis application tricentis bought neoload
Node.js,nodejs opensource crossplatform javascript runtime environment executes javascript code outside web browser
Swift (Object Storage),openstack object storage swift used redundant scalable storage using cluster standardized server store petabyte accessible longterm storage system large amount static retrieved updated object storage ideal cost effective scaleout storage
ASN.1 Tools for C,os asn tool c complete development toolkit rapidly building application using asn
Perfecto Mobile,perfecto leading testing web mobile apps access endtoend testing anywhere world test real mobile device vms real mac simulator emulator
Spring.net,open source springnet application framework provides comprehensive infrastructural support developing enterprise net application allows remove incidental complexity using base class library make best practice test driven development easy practice
ExamDiff,examdiff pro commercial software utility visual file directory comparison microsoft window examdiff pro doublepane view allows sidebyside comparison colorcoded line number indicating whether line added deleted changed
Telerik DevCraft,devcraft software development tooling collection net ui control javascript ui component web desktop mobile application reporting report management solution automated testing mocking tool telerik kendo ui suite
Kendo UI,kendo ui comprehensive html user interface framework building interactive highperformance website application come library ui widget abundance datavisualization gadget clientside source builtin mvvm modelviewviewmodel library
MKS Implementer,implementer premier software configuration management ibm iseries
Rancher,rancher complete software stack team adopting container address operational security challenge managing multiple kubernetes cluster providing devops team integrated tool running containerized workload
FME Server,automate integration using fme server ability connect hundred system including best support spatial
DevOps Suite,sapien devops suite offer current version sapien technology desktop software tool primalscript powershell studio versionrecall primalsql primalxml powershell helpwriter wmi explorer powershell modulemanager
Scandit SDK,sdk transforms smartphones tablet wearable device enterprisegrade barcode scanner advanced technology leverage computing power common mobile device deliver unprecedented scanning speed accuracy principal highperformance easytouse feature software brings enterprisegrade application
Ext JS,ext j pure javascript application framework building interactive cross web application using technique ajax dhtml dom scripting
TOSCA,tricentis tosca automated continuous testing resilient regression testing across architecture application stack speed change
API Manager,wso api manager complete designing publishing apis creating managing developer community scalably routing apitraffic
JRebel Enterprise,jrebel jvm plugin streamlines java application development skipping timeconsuming build redeploy step jrebel developer view code change real time preserve application state increase coding efficiency
UNIX Packages,centralized management system ubiquiti unifi ap
Pivotal,pivotaltools help customer manage big build application using analyze
Micro Focus Visual COBOL,oracle exclusive provider micro focus cobol compiler peoplesoft application certification new visual cobol compiler last year oracle announced server express net express would supported past december
Soterre,soterre version control qlik sense help better understand change made qlik object app save time easily restoring previous version qlik object edited deleted
Qtest,tricentis qtest offer suite agile testing tool designed improve efficiency ensure collaboration journey release best software
Bamboo,atlassian bamboo continuous integration ci continuous delivery cd server bamboo assist software development team providing automated building testing software sourcecode status update successfulfailed build
Bitbucket,bitbucket git repository management designed professional team give central place manage git repository collaborate source code guide development flow provides awesome feature include acces control restrict access source code
Helm,kubernates package manager
Java,programming language
Java Android,programming language
Java Script,programming language
Node.js,javascript runtime engine
React Boilerplate,template react application
ReactJS,single page application user interfact builder
ReactNative,native android io development
Redux,application state management
Spring Boot & Spring Reactor,microservices
Styled Components,stylesheet builder react based application
Swift,programming language macos io
Tempo for Spots,tempo spot designed use production workflow retiming normalizing shortform content like spot using automated workflow vantage tempo spot mode tempo excels normalizing shortform content automated fashion ability process normalizeretime file blazing speed executed lightspeed hardware tempo retiming filebased content intelligently decreasing increasing running time show segment tempo utilizes sophisticated video audio time compression algorithm deliver superior quality faster turnaround time tempo run vantage medium processing offer benefit complete integration world best workflow management transcoding system
Bluejeans Integration,digital marketing agency thing differently strive design thing useful love make thing theyre supposed smart experienced partner solving problem building delivering result better together web marketing strategy user experience design design marketing automation development ongoing support web
Pubnub Room Messaging platform,pubnub chat offer easytouse sdks add inapp chat mobile web application get running quickly rich chat feature flexibility add custom enhancement suit unique need customer
SD Cloud,cloudbased sandbox transforming network infrastructure saas providing ondemand custom design experience learning sandbox environment accelerate transformation network infrastructure
BrowserStack Enterprise,browserstack web mobile testing enables developer test website mobile application across ondemand browser operating system real mobile device without requiring user install maintain internal lab virtual machine device emulator browserstack enterprise automate mobile includes unlimited live screenshots responsive testing unlimited screenshots via api unlimited automate desktop unlimited automate mobile sso integration access control usage analytics ip whitelisting user parallel browserstack enterprise app automate includes unlimited interactive app testing real io android device natural gesture interaction access app device log local testing unlimited appium testing sso integration access control usage user parallel
Particular Platform,build better net service solution using integrated comprehensive focus developing solution unique feature enjoying outofthebox benefit particular service nservicebus messaging workflow serviceinsight advanced debugging servicepulse production monitoring
Losant IoT Platform,losant enterprise iot application enablement allows enterprise effectively build application securely scale million device realtime stream processing batch processing capability user create dynamic experience perform complex analytics provide device management collection visualization reaction workflow realtime cat customer deployment used critical asset tracking cat licensing professional annual support fee
Continuous Testing,previously experitest quality assurance tool mobile devops including manual testing performance testing load testing monitoring mobile application experitest tool support mobile io android window phone blackberry
Akana Platform,provides crossplatform software development tool embedded component parallel dataintensive highperformance computing hpc application akana enterprise api provides endtoend full lifecycle api management designing implementing securing managing monitoring publishing apis
IM Creator Website Builder,im creator cloudbased web development allows individual business create maintain online store blog html website without writing code us wysiwyg principle automatically generates crossdevice crossbrowser compatible website builtin seo tool
Rally,rally formerly ca agile central help team connect strategy execution industry purposebuilt agile
Service Virtualization,ca service virtualization formerly known lisa capture simulates behavior performance characteristic complete composite application environment making available development test team throughout software lifecycle
Cloudframe Unlimited,cloudframe accelerates transformation legacy mainframe cobol application cloudnative java
Compuware Topaz Workbench,workbench provides intuitive interface enables developer experience level initiate compuwares industryleading developer tool compuware workbench modernized development environment mainframe application development provides access point many common task mainframe programmer developed programmer could accomplish much day day processing without leaving workbench
Abend-Aid EP,compuwares mainframe application failure resolution fault management enables developer reduce tedious timeconsuming task manually crossreferencing page recorded application memory information
File-Aid EP,fileaid backbone compuwares test optimization enabling developer rightsize test select right exercise test condition secure guard breach
EP Product Sets,former compuware product strobe ep strobe industryleading mainframe application performance management analysis mainframe application strobe mainframe team locate improve resourceconsumptive database call identify tuning opportunity reduce monthly software licensing cost mlc fileaid ep fileaid backbone compuwares test optimization enabling developer rightsize test select right exercise test condition secure guard breach xpediter ep xpediter family mainframe testing program compuware provide programmer assortment debugging tool variety mainframe application including ibm cics tso ims abendaid ep compuwares mainframe application failure resolution fault management enables developer reduce tedious timeconsuming task manually crossreferencing page recorded application memory information
Xpediter EP,xpediter family mainframe testing program compuware provide programmer assortment debugging tool variety mainframe application including ibm cics tso ims
GitHub Enterprise,dev ops development github enterprise server onpremises deployment githubcom built collaboration hosted azure environment
DB2 Developer,free downloadable extension provides sql language support modern widely adopted ide db developer extension delivers capability help developer write syntactically correct db zos sql quickly
Agile Manager,micro focus agile manager agile project manage ment thats available onpremises softwareasa service tool agile manager get communication hub decision support system organize plan deliver agilesoftware development project
LoadRunner,loadrunner software testing tool micro focus used test application measuring system behaviour performance load loadrunner simulate thousand user concurrently using application software recording later analyzing performance key component application
Unified Functional Testing (UFT),micro focus unified functional testing uft formerly known quicktest professional qtp software providesfunctional regressiontest automation software application environment uft support keyword scripting interface feature graphical user interface
SourcePro,sourcepro robust collection proven crossplatform c tool help reduce timetomarket increase reliability extend life application sourcepro c includes intuitive abstraction threading module
Pendo IO Strategic Platform,pendo productanalytics app built help software company develop product resonate customer app allows software maker embed product wide range tool lead better product experience user new insight product team
Vantage,telestreams vantage software transcoding product used split digital video smaller piece use mobiledevices product specification included vantage transcode pro vantage array vantage transcode multiscreen vantage analysis vantage transcode iptv vod closed captioning product
Quickbase Enterprise,quick base lowcode database application development let team work common repository build form create report set workflow automate process quickbase powerful flexible lowcode unites team accelerate continuous innovation unique process complete proven support citizen development enterprise scale lowcode enables team continuously improve complex application without cost traditional deployment maintenance development
Launch Darkly Feature Management Platform,launchdarkly feature management enables dev ops team control whole feature lifecycle concept launch value feature flagging industry best practice wrapping new risky section code infrastructure change flag
Media NOC Monitoring,encompass global technology company focused supporting broadcast cable digital leader design implement operate reliable video solution capture process deliver client video audio content source format destination efficient manner possible
Helix Core,helix core provides single source truth across team store code large binary file ip digital asset including medium file one central location helix core connects contributor protects intellectual property support rapid release cycle file big team distributed
Outsystems Platform,quickly develop mobile apps web application chatbots lowcode build model workflow logic user interface interaction even add custom code use little much lowcode want
CA eHealth Suite (w/ MGMT Server Pack and Performance Management),ca ehealth integrates ca network system database application management solution agent thirdparty product provide rapid problem identification resolution proactive service assurance across multi vendor multitechnology infrastructure ensuring high availability performance
BlazeMeter,blazemeter market commercial selfservice load testing service paas compatible opensource apache jmeter performance testing framework apache software foundation
Runscope Standard,runscope saasbased company provides solution api performance testing monitoring debugging runscope allows software developer qa tester devops engineer api stakeholder collaborate creating managing executing functional api test monitor
Infrastructure Monitoring (Pro Hosts),datadogs saasbased infrastructure monitoring provides metric visualization alerting ensure engineering team maintain optimize hybrid environment extensive coverage popular technology simple deployment process requires little maintenance easytouse interface datadog help team communicate troubleshoot effectively apm
Splunk Cloud,splunk software search analyze visualize machinegenerated gathered website application sensor device etc make infrastructure splunk make machine accessible across organization identifying pattern providing metric diagnosing problem providing intelligence operation
Load Testing,load testing accelerator oracle database allows test performance oracle database using synthetic test script also generated automatically real application testing database replay capture file
System Center Operations Manager (SCOM),system center operation manager scom crossplatform center monitoring system operating system hypervisors us single interface show state health performance information computer system also provides alert generated according availability performance configuration security situation identified work microsoft window server unixbased host
PagerDuty,saas software pagerduty enables operation event product security alert personnel call notified shift managed etc agile tool incident response pagerduty incident management provides reliable notification automatic escalation oncall scheduling functionality help team detect fix infrastructure problem quickly
"Voice Watch, Diagnostix, OneSight and IntelliSight,",voice watch diagnostix onesight intellisight enhanced maintenance support xms hardware replacement provides networking company offer wireless fixed line solution well testing monitoring analytics telecommunication company call center switch manufacturer empirix tool used monitor call trace troubleshoot report call center voice traffic company infovista product listed hammer empirix listed eliminated hammer listed pending review
Server & Application Monitor,solarwinds monitoring management tool built sysadmins network engineer need powerful affordable tool solarwinds use monitor network solarwinds give u ability see problem become customer impacting fix necessary tool monitor maintain aspect livesource network
User Device Tracker,network device tracking software designed locate user device network
Virtualization Manager,virtualization manager vman powerful virtual machine vm monitoring tool built consolidate variety useful observation one interface
Storage Resource Monitor,solarwinds storage resource monitor srm designed deliver customizable report indepth insight storage environment performance metric key capacity trend
IP Address Manager,solarwindsip address manager ipam ip management tool built save time help prevent error includes number essential ip address management feature including automated ip address tracking integrated dhcp dns well ip address alerting troubleshooting reporting
QBOX Elastic Search,qbox dedicated elasticsearch hosting qbox provides professional support implementation elasticsearch scaling monitoring deployment simplified even massive complex elasticsearch cluster
Auto Scaling,scale multiple resource meet demand
Batch,run batch job scale
CloudFormation,create manage resource template
CloudSearch,managed search service
CloudTrail,aws cloudtrail monitor record account activity across aws infrastructure giving control storage analysis remediation action
Config,aws config continually ass audit evaluates configuration relationship resource aws premise cloud
Data Pipeline,orchestration service periodic datadriven workflow
EC2 Systems Manager,amazon system manager management service help automatically collect software inventory apply patch create system image configure window linux operating system
Elastic File System (EFS),fully managed file system ec
Elastic Load Balancing,distribute incoming traffic across multiple target
Elastic Load Balancing v2,distribute incoming traffic across multiple target
FSx for Windows File Server,amazon fsx window file server give price performance flexibility offering solid state drive ssd hard disk drive hdd storage type
OpsWorks,automate operation chef puppet
Route 53,amazon route scalable highly available domain name system service
SageMaker,build train deploy machine learning model scale
Step Functions,aws step function visual workflow service help developer use aws build distributed application automate process orchestrate microservices create machine learning ml pipeline
Trusted Advisor,aws trusted advisor customized expert help observe best practice use aws inspecting aws environment eye toward saving money improving system performance reliability closing security gap
VPC,amazon virtual private commercial computing service provides user virtual private provisioning logically isolated section amazon web
Well-Architected Tool,aws wellarchitected tool designed help review state application workload architectural best practice identify opportunity improvement track progress time
AppDynamics,appdynamics application performance monitoring apm tool used commercial vec vg monitoring alerting analysis tool playing critical role ensuring stability availability mission critical application apm
TMON for z/OS,tmon zos dynamic monitoring every area ibmszos operating system across every partition enterprise
Comprehensive Monitoring Facility (CMF),cmf monitor isa performance monitoring statistic gathering reporting system cmf monitor performance monitoring statistic gathering reporting system developed maintained bmc software statistic gathered cmf monitor compiled presented either batch report windowed online display bmc ela cmf comingled mips usage db ami ops monitor cmf product set
Sapphire,diamond ip sapphire v appliance bt provides modest performance superior reliability security convenience prepackaged dhcpdnsipam ddi appliance sapphire v configured managed using bt ipcontrol implementation extend dnsipam capability aws
IPControl,ipcontrol provides centralised full lifecycle management missioncritical ip management ipam function including ipv ipv address space allocation address assignment allocationreallocationmoves pool monitoring utilisation tracking creation deployment multivendor dns dhcp
Network Flow Analysis,designed support world largest network ca network flow analysis efficiently harvest rich set networktraffic statistic provides administrator realtime visibility behavior analysis capability network flow analysis network traffic monitoring help optimize network infrastructure better application performance key component within ca technology applicationdriven network performance management anpm
Application Performance Management (APM),ca application performance management ca apm help organization monitor analyze report application transaction ca apm user identify issue resolve problem disrupt critical
Automatic Release Automation,release automation key component continuous delivery pipeline automic release automation ara plugin enables apply core ara deployment modeling application environment deployment capability plugin let start application general workflow directly automic continuous delivery director user interface
CA-ASO,ca app orchestrator
CA-AWA,automic workload automation awa product suite provides workload automation across diverse platform application operation system includes batch processing job scheduling example awa technologyagnostic therefore interface interact virtually ecosystem
Mediation Manager,dx netops mediation manager dx netops mm monitor performance nonsnmp device element management syste overview feature basic use product installing includes step acquire install deploy configure product
Netmaster,ca netmaster network automation help operate maintain availability large network enabling desired state management sna resource allowing initiation automated recovery routine exceptionbased reporting sna network health
Spectrum,ca spectrum single feature proactive network change management fault isolation root cause analysis ca spectrum track manage optimize network infrastructure running top ca spectrum delivers advanced scalability feature enable organization effectively monitor manage dynamic complex infrastructure including physical virtual environment well software defined network sdn ca spectrum single feature proactive
SystemEdge,ca systemedge lightweight agent provides snmpbased monitoring physical virtual system use agent access important system information system configuration performance user file system monitor information use specified threshold condition maintain aggregate object state create object based monitor
Unified Infrastructure,unified infrastructure management uim provides single analytics driven proactively efficiently managing modern hybrid infrastructure uim provides intelligent analytics comprehensive coverage open extensible architecture unified infrastructure management monitoring provides aidriven intelligent analytics comprehensive coverage open extensible architecture leveraging organization speed mean time repair reduce monitoring effort accelerate new deployment improve enduser experience
Virtual Network Assurance,provides gateway performance monitoring ca performance management topology fault management ca spectrum network component layer within sdnnfv stack application service chain
Synthetic Monitoring,catchpoint isa web performance monitoring tool designed help digital company test monitor website application analyze optimize improve customer experience
Optical Networking Services (ONS),thecisco ons tunable dispersion compensation line card us fiber underlying technology achieve tunability allows unlocked specific ghz grid like fiber bigrating etalon technology require help service provider avoid future modification dwdm network accommodate new wavelength modulation scheme dont fit fiber bigrating etalon spectral width
IOS XR,mppfor thirdparty applicationstpa provides mechanism forsecuring management traffic router without mpp thirdparty application service enabled cisco io xr allows service traffic pas interface network address
Data Center Network Manager (DCNM),cisco center network manager dcnm managementsystem cisco unified fabric enables provision monitor troubleshoot center network infrastructure provides visibility control unified center
Cloudhealth,cloudhealth technology provider hybrid management software designed help organization increase visibility across public private infrastructure cloudhealth also help team manage resource utilization cost across environment vmware
Dynatrace Platform,dynatrace software intelligence company providing application performance management apm artificial intelligence operation aiops infrastructure monitoring digital experience management dem product information technology department digital owner medium large business company include performance management software program running onpremises software manages availability performance software application impact user experience form deep transaction tracing synthetic monitoring real user monitoring network monitoring
ElasticSearch,elasticsearch isa distributed open source search analytics engine type including textual numerical geospatial structured unstructured elasticsearch isbuilt apache lucene first released elasticsearch search engine based lucene library elasticsearch highly scalable opensource fulltext search analytics engine allows store search analyze big volume quickly near real time generally used underlying enginetechnology power application complex search feature requirement
Kibana,kibana open source frontend application sits top elastic stack providing search visualization capability indexed elasticsearch
PicOS-V,white box networking refers building network comprising white boxswitches switch built commodity hardware run choice network operating system
Control Center,ibm control center centralized monitoring managementsystem give operation personnel capability continuously monitor status configuration manager engine adapter across enterprise following server type one central location
DB2 Utilities,ibm db family hybrid management product offering complete suite aiempowered capability designed help manage structured unstructured premise well private public environment
IMS Performance,ims performance analyzer zos provides robust reporting engine accompanied multitude easy read consolidated report
Netcool,ibm netcool network management help communication service provider enterprise center networking staff discover visualize detect configure activate integrate remediate network
Tivoli Monitoring,ibm tivoli monitoring monitor manages system network application variety operating system track availability performance enterprise system provides report track trend troubleshoot problem
SQL Diagnostic Manager,idera sql diagnostic manager powerful performance monitoring diagnosticssolution proactively alert administrator health performance availability problem within sql server environment
Vista CockPit,vistacockpit enables monitor configure troubleshoot variousinfovista product installed vistacockpit help centralize schedule infovista task
WhatsUp Gold,whatsup gold msp edition give managed service provider ability monitor customer remote network central location comprehensive network management monitoring centralized distributed mixed client environment keep msps informed overall health network ipswitch part progress
Application Performance Management (APM),micro focus application performance management apm solution allow isolate problem realtime applicationswhether onpremise mobile choose combination onpremise saas hybrid suit existing model
Automated Network Mgmt,micro focus network automation na help global company government agency service provider manage network configuration meet compliance processdriven model prevents error reduces cost na included network operationsmanagement comprehensive network management
Business Availability Center,micro focus process monitor synthetic monitoring tool enables proactive monitoring enterprise hybrid mobile application simulating user interaction monitored application
Cloud Optimizer,monitoring capacity performance management virtualized environment
Diagnostics,micro focus diagnosticsis analytics issue diagnosticscomponent application performance management suite provides codelevel visibility transaction activity across application network operating program integrates rest micro focusapm suite
Network Capture,network capture flexible powerful network performance measurement let easily accurately record analyze network behavior including condi tions latency packet loss avail able bandwidth
Network Automation,micro focus network automation remote monitoring management software enables user drive automated configuration change security compliance across enterprise network automatetimeconsuming manual compliance configuration task micro focus network automation na help global company government agency service provider manage network configuration meet compliance processdriven model prevents error reduces cost na included network operationsmanagement comprehensive network management
Operations Management,micro focusitom industry first containerbased aiops enables u rapidly deliver innovation service management management application infrastructure monitoring deployed public private traditional infrastructure
Performance Center,micro focus performance center suite integrated performancetesting solution emulate hundred thousand concurrent user apply production workload virtually environment identify potential performance bottleneck help diagnose fix root cause problem
Server Automation (SA),center automation software tool automate compliance vulnerability risk management across hybrid enterprise
Network Management,micro focus network operationsmanagement first heteroge neousnetwork management provide unified management modern network operationsand engineering team benefit automated networktopology health configuration status detail disposal
Service Virtualization,micro focus service virtualization simulation software creates realistic production environment emulation application behavior virtual
SiteScope,micro focus sitescopesoftware agentless monitoring help user constantly monitor improve performance availability type asset
Artificial Intelligence for IT Operations (AIOPS),moogsoft aiopsartificial intelligence operation next generation approach event management driven realtime machine learning detect anomaly across production stack application infrastructure monitoring tool moogsoft aidriven observability leader provides intelligent monitoring solution smart devops moogsoft delivers advanced cloudnative selfservice software engineer developer operator instantly see everything know whats wrong fix thing faster
Core,nagios core open source system network monitoring application watch host specify alerting thing go bad get better nagios core originally designed run linux although work unices well
Packet Flow,netscouts disaggregated packet flow switch architecture enables strategic packet visibility scale operates dynamically enabling pervasive visibility netscouts infinistream appliance part ngeniusone service assurance security system regardless infrastructure modification change source network traffic
HttpWatch,httpwatch http viewer debugger integrates internet explorer provide seamless http http monitoring without leaving browser window
Application Performance Monitoring (APM),new relic apm help software team instantly detect anomaly discover root cause optimize performance new relic apm collect store metric webbased associated application within enterprise new relic receives network process analyzes user view dashboardtype interface
NXLog,nxlog enterprise edition highperformance multiplatform log collection aimed solving task single tool nxlog enterprise edition modular multithreaded highperformance log collection multiplatform support collect log file various format receive log network remotely udp tcp tlsssl
NetExpert,netexpert monitor control network service impacting resource using objectoriented expert system technology
PIWIK Pro,piwik pro analytics customer tailored individual need enterprise client
Load Balancing,avi network software provides centralized multitenancy selfservice implement elastic network load balancing
SuperVision,supervision center management suite secureagent software division global interface solution inc
Database Performance Analyzer,solarwinds database performance analyzer performance monitoring tool database administrator running database vmware helping achieve high performance reliability monitor analyze diagnose optimize database performance ops drive businesscritical application unify onpremises database visibility control management streamlined monitoring mapping lineage integration tuning across multiple vendor sql tuning software faster database performance reveal performance bottleneck deep inside sql server oracle db sap ase instance database monitoring tool focus response time multidimensional performance analysis like dpa
Optimize DB2,syncsort optimize db complement traditional db performance tool traditional tool focus real time monitoring sql statement historical analysis static sql workload syncsort optimize db take unique endtoend workloadcentric workloadaware approach performance optimization dynamic static sql using syncsort optimize db easy monitor db sql workload collecting static dynamic sql application programmer dba performance analyst use quickly identify highcost problematic statement vital performance including multidimensional analysis sql workload allows drill sql metric access path ez db
uberAgent,uberagent splunk agent enduser computing window macos
Observer Platform,observer comprehensive network performance monitoring diagnostics npmd ideal maintaining peak performance gigastor portable isthe first selfcontained performance monitoring analysis count troubleshooting network application problem wherever occur gigastor netcomplete etherassure fall observe per viavi website
Zabbix Server,zabbix opensource monitoring software tool diverse component including network server virtual machine vms
Zenoss,zenossis company develops hybrid monitoring analytics software visibility virtual physical environment optimize application performance environmentfrom simple infrastructure complex dynamic multicloud deployment
Twilio,twilio allows software developer programmatically make receive phone call send receive text message perform communication function using web service apis
Ixia Network,ixia network visibility solution provides component visibilty archectecture include access layer virtual visibility includes hawkeye chariot nv network visibility solution enterprise breakingpoint product keysight security fabric powerful network visibility engine contextaware processing engine provides administrator dashboard graph chart map statistic known unknown application geography device network
Avi vCPU,avi network software provides centralized multitenancy selfservice implement elastic network load balancing
Intersight,cisco intersight operation consists optional modular capability advanced infrastructure workload optimization kubernetes cisco intersight infrastructure include deployment monitoring management support physical virtual infrastructure cisco intersight softwareasaservice saas infrastructure management augmented intelligent system provides secure lifecycle management cisco unified computing system ucs hyperflex thirdparty device cisco intersight let control everything server container apps infrastructure single
Fluentd,logging fluentd open source collector unified logging layer fluentd allows unify collection consumption better use understanding
Sam Knows One,combine network application performance monitoring turn billion point single meaningful notification samknows web sole purpose enabling client access view collected performance panel internal purpose core analytics advanced analytics includes performance metric line chart scatter plot bar chart heat map summary table aggregation mean average presenter mode export normalization
Visualware MyConnection Server,myconnection server mc delivers broad range support managed automated userinitiated selfhelp connection testing monitoring directly via browser online customerlocation anywhere world mc provides precise measurement connection throughput capacity network routing firewall testing testing parameter done along analysis tool custom designed ass connection bandwidth intensive time critical application voip video conferencing
IR Prognosis,enterprise experience management software uc cc payment msp streamline uc operation improve prognosis increased productivity downtime customizable dashboard better user experience quick troubleshooting reduce operational cost
Moon,moon browser automation compatible selenium cypress playwright puppeteer using kubernetes openshift launch browser moon commercial closedsource enterprise selenium implementation using kubernetes launch browser
Big-IP Appliances Local Traffic Manager (LTM),bigip local traffic manager ltm intelligently manages network traffic application always fast available secure f technology focus delivery security performance availability web application including availability computing storage network resource f technology available center environment
Syniverse Suite of Business Process Connectivity Tools,securely connect monetize iot device private lte g blockchain grow businesssyniverse global company provides technology number telecommunication company well variety multinational enterprise leading mobile roaming clearing settlement networking messaging solution protect securework messaging identity roaming fraud management product syniverses suite address preprovisioning porting fallout
Dragon Professional Anywhere,dragon speechrecognition program used among thing dictate answer homework question fiveparagraph essay even write novel
Dragon Professional Anywhere,dragon speechrecognition program used among thing dictate answer homework question fiveparagraph essay even write novel
iXTools Platform,comprehensive set tool automates streamlines carrier interconnect routing billing settlement audit trading process telarix empowers communication company across globe manage international wholesale operation true endtoend pricing operation billing fraud detection telarix offer carrier unprecedented level visibility control interconnect traffic
iXDetect,ixdetect fullfunction fm enabling operator user successfully navigate complexity today telecom threat protect revenue loss whether threat come fixed mobile roaming voip technology ixdetect provides critical tool defeating fraud wherever originates
Media Server VMS Mobility - FiOS,securemedia drm network related product encryptonite one server sw vms mobility feature allows user consume dvr vod well live tv content mobile device user shall able view dvr content either transferring mobile device using syncn go feature streaming home remotely user view live tv vod content mobile device within home live tv content shall accessible remotely well
Element Network Manager (ENM),ericsson network manager unified network management system designed meet need local global service provider hosted ericsson enm service used manage ericsson g gnodeb g enodeb innovation center lab alley location ericsson network manager offer uniform operational environment collection consolidated management function based cloudbased ready software close zerodowntime software upgrade ensure full visibility control network system also provides set unified application tool manage radio access transport core network controlled secure way
VNF - LCM (Virtualized Network Function - Life Cycle Manager),developed ribbon virtual network function manager vnfm virtualized management application provides vnf lifecycle management lcm ribbon vnfs vnfm part standardbased etsi nfv architecture work customerprovided nfv orchestrator nfvo virtual infrastructure manager vimthe latter based openstack
XCAL-M and XCAP-M Value Bundle,quick troubleshooting conduct rootcause analysis wireless network accuver delivers comprehensive wireless testing measurement solution lte iot network operator infrastructure vendor device chipset manufacturer mid tier xcalm xcapm bundle package g nr nsa
NetFlow Traffic Analyzer,solarwinds netflow traffic analyzer nta allows capture continuous stream network traffic convert raw number easytointerpret chart table quantify exactly corporate network used purpose
Meraki Platform,software defined wide area network sdwan softwaredefined approach managing widearea network wan extend intentbased networking across branch wan cisco meraki allows configure security internetconnected device router switch firewall wifi network company us internetconnected browser provides convenient efficient way configuring organization entire network
NetSense,test call generator product application software netsense call allows carrier perform variety quality measurement verification mixture destination world test call originated carrier network result analyzed realtime
