Product Name,Cleaned Description
Matrixx Digital Commerce Platform,digital commerce platform used large telecom companies management operations support systems billing support systems matrixx core online billing system visible full endtoend stack built flexibility pricing online chargingmetering true saas model matrixx installed google cloud platform scale customers growth systems stack includes core online real time charging policy controls platform integrates network payment gateways lightweight true digital sdk kit digital platforms web based customer care application robust ordering provisioning system business intelligence layer analytics customer notifications engine
Document and Mail Automation,mail handling equipment services high speed equipment bill print volume mail centers
Khoros Community Engagement,khoros formerly spredfast lithium global customer engagement software company provides online community management social media marketing social media analytics digital care content management software services enterprise brands agencies
Ratings and Reviews,bazaarvoice digital marketing company provides software allows retailers add customer reviews websites bazaarvoice provides review submission services including reading review determining review acceptable unacceptable making applicable updates services also include providing website dashboard contains error handling rejected user generated reviews reporting statistics pending transactions customer ratings reviews plus qa software oem connections
Customer Success (CS) Platform,consolidate data multiple sources central view enabling teams quickly easily access holistic view customer journey enable crossfunctional team deliver customer outcomes surfacing key insights onthego mobile app tools use everyday crm video conferencing platform
X Platform,conversational service automation csa platform future customer service leveraging conversational ai nlp rpa csa optimizes customeragent interactions increasing selfservice rates automating agent tasks including agent callwork acw call disposition underlying analytics security layer
Bill Print - Mailing,pitney bowes software subscription maintenance list software products used bill print ar cash applications
Verint Interaction Recording,verint interaction recording proven reliable system capturing indexing retrieving voice screen methods interaction traditional timedivision multiplex tdm internet protocol ip session initiated protocol sip advanced unified communication platforms includes call recording channel based voice interaction recording screen interaction recording encryption management interaction data platform
Quality Management,verint quality management evaluate attributes customer interaction including voice conversations associated screen data textbased interactions chat video right single screen solutions omnichannel interaction player provides personalized access speakerseparated audio waveforms speech analytics categories emotions keywords interaction tags annotations screen recording applications used employees employee profile information automated quality management add quality management
Order and Service Management (OSM),accelerate new offering design time market manage order fulfillment lifecycle across enterprise systemsincluding billing shipping workforce management also managing tracking service fulfillment activities across activation inventory applications osm order processing system takes input order customer relationship management crm system manages fulfillment functions need carried complete order fulfillment functions include operations assigning phone number activating service network shipping phone running billing product information page httpsdocsoraclecomcommunicationsedocecptoverviewhtmosmcn
Billing and Revenue Management,oracle communications billing revenue management brm provides endtoend revenue management system communications service providers use brm configure product offerings create customer accounts charge service usage collect analyze revenue manage customer relationships
Oracle Communications Billing and Revenue Management,oracle communications billing revenue management brm provides complete endtoend solution managing revenue supporting key business processes incorporate generation capture collection assurance revenue combining industrys comprehensive functional footprint superior realtime architecture oracle leading worldwide provider revenue management solutions global communications media cloud digital services markets
Advanced Discounting Manager,batch discounts support discounts based monthly fees usage included advanced discounting manager dynamic discounting management page emprodiscanalys assist suppliers searching scheduled payments accepted proposals offers offer least discount amount capital required given date
Batch Rating,batch rating rates events recorded files telephony call detail records cdrs batch rating performed pipeline manager universal event ue loader telco services use pipeline manager batch rating oracle communications batch rating leverages batch pipeline architecture processes events include call assembly sequence checking guiding zone analysis rating balance updates synchronization well rerating batch rating generally used processing highvolume usage events
Brand Manager,oracle communications brand manager provides ability create environment oracle communications billing revenue management divided managed multiple separate distinct brands brand may user access control customer subscriber data product catalog general ledger accounts controlled access system data
Interconnect Manager,oracle communications interconnect manager addon component oracle communications batch rating facilitates interconnection process handling usage events physical lines two network operators
Collections Manager,oracle communications collections manager provides full management overdue receivables including assigning tasks collections agents customer profiling debt aging multiple collections scenarios fully integrated oracle communications billing revenue management ar gl includes gui configuration operation
Payment Suspense Manager,oracle communications payment suspense manager allows suspending payments fail validation rules managing suspended payments
Revenue Assurance Manager,oracle communications revenue assurance manager provides support verifying endtoend completeness accuracy integrity revenue generating events flow oracle communications billing revenue management oracle communications revenue assurance manager provides framework collecting audit information rating billing business owners ensure data integrity
Suspense Manager,oracle communications payment suspense manager allows suspending payments fail validation rules managing suspended payments
Web Services Manager,oracle communications web services manager provides standardsbased interface oracle communications billing revenue managements commonly used apis oracle communications web services manager uses web services standards accepts returns soap messages sent http web services manager includes oracle communications billing revenue management jca resource adapter enables connectivity oracle communications billing revenue management external jeecompliant applications
Enterprise Application Integration (EAI) Manager,oracle communications enterprise application integration eai manager facilitates integrations oracle communications billing revenue management enterprise applications oracle communications eai manager assembles publishes business events consistent interface includes default set business events published
Release Management,oracle release management automates highvolume electronic demand management continually incorporating customer demand order planning processes oracle release management validates archives manages reconciles customer planning shipping production sequence schedules timely updates sales orders sales agreements forecasts
Payment Manager for Paymentech,oracle communications payment manager paymentech provides packaged integration paymentech thirdparty payment gateway integrated number financial institutions canada united states europe
Taxation Manager for Vertex,oracle communications taxation manager vertex provides packaged integration vertex thirdparty software package calculating taxes
Live Chat and VA Virtual Assistant,touchcommerce provides marketleading brands awardwinning omnichannel solutions engage customers device online chat guides personalized content automated tools resulting enhanced customer experience increased revenue reduced support costs
Vlocity Cloud BSS Bundle,vlocity bss application built natively salesforce platform leading provider industryspecific cloud mobile software driving digital transformation increases sales service contract order management
Voice Bio-Metrics (IVR),touchcommerce provides marketleading brands awardwinning omnichannel solutions engage customers device online chat guides personalized content automated tools resulting enhanced customer experience increased revenue reduced support costs includes services premise freespeech
Vocon Hybrid,vocon hybrid featurerich sdk software development kit provides superior functionality unmatched accuracy high performance variety applications utilize speech control nuance recognizer bestofbreed speech recognition software dramatically increases efficiency selfservice solutions uses neural networkbased recognition provide accurate conversational responses delivering high recognition accuracy enabling natural conversations nuance recognizer delivers seamless selfservice enhanced customer experience lower costs choose marketleading automated speech recognition engine lifelike personalized customer interaction driven advanced ai
Live Assist,aipowered live assist feature enables sia consistently monitor live chat agent user wherever ai response available notify agent popup agent use answer rather spending time searching response single click
"Vocalizer, Recognizer (IVR)",vocalizer complete enterpriseready texttospeech output engine enables humanlike personalized customer interactions less cost hassle hiring voice talent nuance recognizer delivers seamless selfservice enhanced customer experience lower costs choose marketleading automated speech recognition engine lifelike personalized customer interaction driven advanced ai
Directory Assistance,nuance provider natural speech interface software telecommunications enterprise webbased systems unveiled voicedriven nationwide directory assistance application accurately recognize million residential business listings
Security Suite,nuance communications announced launch nextgeneration security suite biometric fraud prevention authentication solution uses third generation deep neural networks advanced ai algorithms detect anomalies interaction new security suite introduces nuances conversationprint behavioural biometric technology enhances companys omnichannel customer engagement platform according announcement conversationprint applies nuances core speechtotext competency short speech samples analyzes vocabulary sentence structure grammar characteristics individually unique detect fraud
Voice ID,voice id system repeating short phrase several times create unique voiceprint customer calls future asked say phrase technology compare verification voiceprint one created enrollment
ShopperTrack,shoppertrak leading global provider retail analytics provider people counter technology foot traffic analysis improve retail profitability
Traffic 2.0,retailnext saas platform organizes analyzes displays visualizations massive volumes diverse retail data software aggregates information stores cloud providing unified instant view stores shoppers across chainall real time
Experience Cloud,operational customer experience management ocem platform delivered softwareasaservice saas model known medallia experience cloud core platform track experience signals created daily journeys using proprietary ai technology identify causes outcomes observing crosschannel brand interactions core platform captures customer feedback different touch points customer interacts organization eg call center website property provides realtime reporting analysis responses reporting analytical tools
Cresta Chatbot,cresta chatbot uses realtime intelligence cresta insights analyze conversations identify high value chatbot use cases automate ahead dynamic customer needs build chatbots learn topagents crestas stateoftheart nlu conversation design experts
Zuora Billing Platform,industry leading solution monetize manage subscription service zuora enterprise software company creates provides software businesses launch manage subscriptionbased services zuoras applications designed automate recurring billing collections quoting revenue recognition subscription metrics
8MS Managed Services,ms system allows call center representatives searchreserve toll free numbers business customers
IVRO and IVRA,nice interactive voice response optimization ivro interactive voice response analytics ivra comprising artificial intelligence ai driven analytics boost customer experiences across ivr journeys nice ivro designed streamline menus facilitate selfservice customers easily get answers need enabling organizations benefit savings result lower deflection contact centers
Tethr,aibased conversation intelligence platform surfaces insights customer interactions phone calls chats emails organizations immediately put use drive improvements customer experience sales reducing operating costs
Flixster,fandango media llc american ticketing company sells movie tickets via website well mobile app well provider television streaming media information eg subsidiaries flixster moviescom rotten tomatoes license access flixster content rotten tomatoes fandango bought flixster rotten tomatoes
Pulse,pulse keeps watch cx automatically monitoring interactions agent customer perspective mimicking behavior providing realtime visibility cx performance pulse gives power monitor cx anywhere working fully functional dashboards web wallboards operations centers well mobile app pulse uses robotic process automation rpa bots automatically generate agent customer interactions simulate realworld contact scenarios regularly scheduled intervals pulse fires synthetic calls chats chatbots web chat interactions giving clearest picture entire customer experience infrastructure including integration points handoffs systems note product uses purely qa testing automation tool part operational platform need add tags ddd qa
Commonfont Managed Services,support transition medallia commonfont spearhead transition activities work qualtrics xm experts providing expertise program design alignment solutions business impact delivery strategies manage execute technical implementationkey areas expertise asingle poc overall program successroadmap mgmt steering strategy guidance align impactful technical objectives actionable delivery plan technical implementation forlistening program componentsreporting tools data architecture development execution coordination ofrigorousuat gonogo launch steps supporting ongoing configuration management optimization maintenance needs
Amplitude Analytics,amplitude product analytics application assists companies monitor website visitors using collaborative analytics utilizes behavioral reports comprehend users engagement products offers insights speed work real time program aids firms grow leveraging retention conversion metrics amplitutde growth platform amplitude accounts amplitude platform data volume events
Tariffmatch Managed Services,tariffmatch uniquely placed work benefit service providers customers core service provide detailed billing data analysis telecoms carriers help provide best solutions business customers monthly subscription uk emea
Adobe Commerce,advanced ecommerce technologies build customized webshops help increase sales grow business magento opensource ecommerce platform written php one popular open ecommerce systems network magento adobe commerce still purchased xdotcommerce vendor
Dashboards,access contact center metrics centralize data using one realtime dashboard aceyus vue visionary user experience aceyus brings call center data multiple sources one dashboard aceyusvue get call center dashboards show full customer journey
CatalogOne,catalogone amdocs next generation enterprise catalog providing unified commerce charging serviceresource catalog provides catalog platform amdocsone overall brand portfolio amdocs catalogone built delivered cloudnative microservices designed standalone solution federate existing bss oss catalog systems amdocs third parties
Intelligence Platform,clarabridge helps hundreds worlds leading brands understand improve customer experience using advanced text analytics clarabridgetransforms survey social voice forms customer feedback intelligence used empower confident decisive action across business provides highly effective means capturing customers saying bestinclass industryrecognized text analytics solution listen conversations anywhere time make accurate predictions save time effort money
Intermediate (IME),formerly intec billing inc ime billing collection system collects billing data processes outputs downstream billing systems intec supplies billing software solutions one worlds leading bssoss business operations support systems vendors
Velocity,velocity lets build ideal customer journeys develop test cases directly designs ensuring every journey performs exactly intended velocitys visual interface makes easy understand design identify potential issues collaborate across organization create perfect cx velocity lets maximize productivity saving time money full automation cx discovery test case creation test execution velocity leverage automation bring agile devops practices contact center eliminating manual testing meeting aggressive deadlines supporting continuous integration ci continuous deployment cd note product uses purely qa tool testing automation part operational platform need add tags ddd qa
Google Dialog Flow,dialogflow natural language understanding platform used design integrate conversational user interface mobile apps web applications devices bots interactive voice response systems virtual agent handles conversations end users lifelike conversational ai stateoftheart virtual agents support rich intuitive customer conversations powered googles leading ai one comprehensive development platform chatbots voicebots
Sterling CPQ,sterling cpq configurepricequote cpq automates configuration pricing quoting complex products services also allows exclude specific items categories attributes pricing rules global organization defining global pricing exclusions
Local Calling Data,local calling data npanxx data definition files licensed use one production application data may used additional development test applications
LiveEngage,liveengage conversational cloud aipowered command center consumer conversations chat platform allows companies talk visitors real time websites
LiveEngage Managed Services,liveperson resources project manager solutions engineer solutions architect conversational operations manager
NECA Tariff Managed Services,month neca submits complete tariff federal communications necas current tariff submission contains effective tariff material
Netcracker,data rater software license maintenance services agreement
ATG Commerce,oracle atg web commerce provides open serverside environment building deploying dynamic personalized applications web communication channels email wireless devices oracle atg web commerce applications implement component development model based javabeans jsps
Order Care,improve customer experience ericsson order care order management system handling automated workflows manual work activities
VeriFone,verifone connect payment services provide simple secure flexible way address payment need
Revolution,revolution synapps next generation industryleading notification software breaks communication barriers uniting fragmented systems processes centralized platform help people communicate critical information efficiently safely reliably
PSTN Numbering Ranges,pstn numbering plansare foundation routing voice calls pstn network
Autonomy Platform,end end order cash platform cforiaautonomy platform automates manual work consolidates data moment invoice sent payment received allowing ar teams prioritize work days full visibility accounts times
Ipiphany,ipiphany makes easy combine different types structured unstructured customer data different sources single view quickly immerse data gain breadth depth understanding required uncover important actionable insights would otherwise remain hidden connect insights relevant business functions roles distributed key stakeholders via insight dashboards decisioning action ongoing management
Speechmatics,speechmatics provides automatic cloudbased realtime speech recognition technologies used language
Enterprise Search,personalize search recommendations make every interaction better coveo deliver relevance across websites ecommerce service workplace
Argent Basic,argent provides application monitoring performance management automated software inventory computer monitoring software data management solutions
Interactive Voice Response Analytics (IVRA),managed analytical services
Satmetrix NPX,satmetrix surveybased customer experience management software contains summary individual customer data tracking customer lifecycle
tagVUE MX,mobile application performing various rfid tag operations like inventory proximity lookup tag identification vendor called inthingio
tagVUE MX,mobile application performing various rfid tag operations like inventory proximity lookup tag identification vendor called inthingio
Apptentive Enterprise,apptentive helps enterprise brands measure shifts customer emotion take action realtime win back consumers activate fans apptentive rebranded alchemer
Nexidia Analytics,nexidia interaction analytics software company provides indexing mining software audio vide maximize customer satisfaction ai predictive analytics nice nexidia find transform business accurate quantified consistent objective data analysis
Mobilogix Managed Services,mobilogix designs develops smart iot solutions worlds best tightly integrated software hardware products tracking monitoring managing assets telit acquires mobilogix provide custom iot project solution design services
Evercoast Managed Services,evercoast advancing creation holographic volumetric content used mobile augmented reality virtual reality web desktop
Robotics Process Automation (RPA),uipaths attended robotsare designed personal assistants supporting staff automating portion work
Phygital World,double labs phygital world proprietary webbased platform allows brands bring products services offline experiences digital customized virtual world
ClearX Platform,clear developer blockchainbased settlement clearing networks remove friction complex bb trade enabling automated contract settlement reconciliation roaming agreements operators simplifying work processes saving long reconciliation cycles paving way new iot roaming services become reality
MEC Solutions Platform,macrometa global data network edge computing service macrometa helps cloud web developers add instant performance stateful data driven web mobile iot apps apis cutting cloud database server costs nosql database pubsub event processing computing platform building geodistributed applications developers use macrometa build highly performant stateful apps apis via serverless platform
MEC Solutions Platform,macrometa global data network edge computing service macrometa helps cloud web developers add instant performance stateful data driven web mobile iot apps apis cutting cloud database server costs nosql database pubsub event processing computing platform building geodistributed applications developers use macrometa build highly performant stateful apps apis via serverless platform
Guardian S Robot,guardian versatile snake robot capable traversing challenging terrain inspect industrial facilities hazardous environments slither roll even slide magnetized body straight metal door sending data cameras sensors back remote operator
Order to Cash Integration Pack,oracle communications order cash automates bss business support systems concept launch bss order activate processes across siebel customer relationship management siebel crm oracle communications order service management oracle osm oracle communications billing revenue management
Design Studio,design studio integrated design environment ide shortens development cycles operational support systems oss solutions based oracle communications oss applications design studio enables deploy solutions quickly providing consistent design experience technical nontechnical users reduces costs replacing coding configuration
Microsoft Visual Studio-Old,microsoft visual studio integrated development environment microsoft used develop computer programs well websites web apps web services mobile apps
Creative Cloud,adobe creative cloud set applications services adobe inc gives subscribers access collection software used graphic design video editing web development photography along set mobile applications also optional cloud services creative cloud collection desktop mobile apps services photography design video web ux
SonarQube,sonarqube opensource platform developed sonarsource continuous inspection code quality perform automatic reviews static analysis code detect bugs code smells programming languages
Captivate for Teams User,adobe captivate software enables anyone rapidly create powerful engaging simulations software demonstrations scenariobased training without programming knowledge multimedia skills adobe captivate automatically generates interactive content flash format without requiring users learn flash
Crucible,crucible allows request perform manage code reviews
Fisheye,fisheye allows extract information source code repository display sophisticated reports
Gruntworks,collection lines reusable productiongrade commerciallysupported maintained infrastructure code aws gcp
SonarCloud,sw development tool scanning source code security dev ed sonarcl sonarcloud subscription locs
SonarQube Dev Edition,scanning code security developer edition includes branches sonarlint notifications along code analyzers developed sonarsource modern languages lines code development sw scanning code security
Studio 3T,studio professional gui ide client mongodb available windows mac linux speed tasks like query building data exploration importexport code generation morewith without knowledge mongodb query language
JetBrains,jetbrains software development company whose tools targeted towards software developers project managers
Postman Pro,postman pro fully featured software testing system run testing process mac windows linux applications postmanpro slots sw development tool api development design mock debug test document monitor publish apis postman easily maintain single source truth
Dolby Vision Consumer Decoder - Imaging,dolby vision brand name high dynamic range hdr k video format developed promoted dolby vision consumer decoder source device dolby hdr format also used video production making professional well consumer brand royalties dolby vision source devices payable particular calendar quarter based cumulative number dolby vision sourcedevices sold year comprehensive hardware software content management solutions cinema include industryleading servers plugins media players mastering suitesall designed help simplify streamline digital cinema operations postproduction playback
Rovi Conversation Services,veveos developments natural language processing understanding enabled dialogbased realtime conversational interfaces introduced late interfaces allow connected devices applications used natural conversational intelligence applied voice interfaces result users talk devices normal language devices respond natural language responses cloud service license agreement provide cue voice response service fios tv video services ei fees spanish fees quarterly payment
Enterprise Integrator,enterprise platform integrating application programming interfaces applications web services locally across internet
Certify Automated Testing,build test automation enterprise packaged applications beyond codeless continuous automated testing platform trusted leading global enterprises speed projects boost efficiency mitigate risk endtoend business processes
TestCast professional,acp small cell solution used lab performance testing professional licenses run time licenses run application approx licenses
Font Scaling,monotype imaging holdings inc american company specializes digital typesetting typeface design use consumer electronics devices
Red Carpet Subscription,red carpet subscription offers access developer libraries well network management tools enterprise adapters get libraries every major communications security protocol available major development platforms one convenient package
API Gateway,build deploy manage apis
Athena,query data using sql
CodeBuild,aws codebuild fully managed continuous integration service compiles source code runs tests produces readytodeploy software packages
CodePipeline,aws codepipeline fully managed continuous delivery service helps automate release pipelines fast reliable application infrastructure updates
Device Farm,restricted use service previously allowed going update new security review process test android ios web apps real devices aws cloud
Elastic Transcoder,easytouse scalable media transcoding
Lex,restricted use allowed sandbox time last review support cmks required public endpoint build voice text chatbots
Resource Group Tagging,resource groups allow easily create maintain view collection resources share common tags
Service Catalog,aws service catalog lets centrally manage deployed services applications resources metadata achieve consistent governance infrastructure code iac templates aws service catalog meet compliance requirements making sure customers quickly deploy approved services need
SWF,amazon simple workflow amazon swf cloud workflow management application
X-Ray,allowed still completing autoremediation analyze debug applications
PowerBuilder,powerbuilder provides new targets enable developers rapidly create restful web apis nonvisual net assemblies testdriven manner using c language powerbuilder rapid application development tool building maintaining modernizing businesscritical windows applications owned sybase division sap powerbase makes prototype construction easier permits developers create clientserver web distributed applications win includes sybase support thru sap
Aspose.Total for Java,aspose file formats api provider provides net java android sharepoint reporting services cloudbased apis document generation conversion automation
SmallTalk,smalltalk objectoriented programming oop language incorporates dynamic runtime typing methodology maneuverability
CorasWorks,corasworks bi tool sharepoint v mature product evolved along microsoft sharepoint platform designed fastest easiest way add business value sharepoint specific corasworks focused making fast easy manage work related activities
Garden Plan,freshdesk cloudbased customer support software helpdesk solution
GitLab Platform,gitlab webbased devops lifecycle enterprise platform provides gitrepository manager providing wiki issuetracking continuous integration deployment pipeline three versions community free premium ultimate editions
Runner,gitlab runner open source project used run jobs send results back gitlab used conjunction gitlab cicd opensource continuous integration service included gitlabthat coordinates jobs
Web Experience Factory (WEF),hcl web experience factory wef creates applications rich interactive digital experiences delivery desktop browsers smartphones tablets channels application development tool enables developers build custom web portlets widgets applications hcl digital experience ibm websphere application server environments formerly ibm websphere
Helm K8,helm package manager kubernetes allows developers operators easily package configure deploy applications services onto kubernetes clusters
Hygieia,software delivery excellence solution collects entire software development lifecycle data devops associated tools provides business insights sdlc
Debug Tool,debug tool zos enables examine monitor control execution c c cobol pli programs
Developer for z Systems,developer zos modern robust toolset developing maintaining ibm zos applications use devops practices
IBM XL,xl cc name ibms proprietary optimizing cc compiler ibmsupported environments
ILOG CPLEX,ibm ilog cplex optimization studio optimization software package
Informix 4GL,informixgl gl programming language developed informix mids
Informix SQL,ibm informix embeddable highperformance database integrating sql nosql json timeseries spatial data
Integration Designer,integration designer formerly ibm websphere integration developer delivers tools visually constructing services data transformations business process execution language bpel orchestrations integration applications source systems
OpenShift,red hat openshift ibm cloud fully managed openshiftservice leverages enterprise scale security ibm cloud focus developing managing applications deploy highly available openshift clusters asaservice click button ibm cloud
Rational App Dev,rational application developer websphere software commercial eclipsebased integrated development environment ide
Rational TestManager,ibm rational testmanager used manage aspects testing sources information related testing effort throughout phases software development project rational testmanager central console test activity management execution reporting built extensibility supports everything pure manual test approaches various automated paradigms including unit testing functional regression testing performance testing rational testmanager meant accessed members project team ensuring high visibility test coverage information defect trends application readinessif
Reactive Platform,reactive platform application development framework runtime solution building deploying cloud native applications
Red Hat Ansible Tower,ansible opensource software provisioning configuration management applicationdeployment tool enabling infrastructure code runs many unixlike systems configure unixlike systems well microsoft windows includes declarative language describe system configuration
Red Hat Ansible Tower,ansible opensource software provisioning configuration management applicationdeployment tool enabling infrastructure code runs many unixlike systems configure unixlike systems well microsoft windows includes declarative language describe system configuration
UrbanCode,urbancode deploy application release automation solution combines robust visibility traceability auditing capabilities allows deploy applications distributed data centers cloud virtualized environments
iBwave Design,ibwave design recognized worldwide software standard designing indoor wireless networks
Jenkins,jenkins opensource automation tool written java plugins built continuous integration purposes jenkins used build test software projects continuously making easier developers integrate changes project making easier users obtain fresh build
JFROG Platform,fully automated devops platform distributing trusted software releases code production jfrog artifactory isa universal devops solution providing endtoend automation management binaries artifacts application delivery process improves productivity across development ecosystem
Visual Studio,microsoft visual studio integrated development environment microsoft used develop computer programs well websites web apps web services mobile apps visual studio standard subscriptions formerly msdn subscriptions allow development team members install use software design develop test evaluate demonstrate software visual studio software licensed production environments visual studio msdn licensed per user basis visual studio comes versions standard enterprise pro
NeoLoad,neoload automated performance testing platform enterprise organizations continuously testing apis applications tricentis bought neoload
Node.js,nodejs opensource crossplatform javascript runtime environment executes javascript code outside web browser
Swift (Object Storage),openstack object storage swift used redundant scalable data storage using clusters standardized servers store petabytes accessible data longterm storage system large amounts static data retrieved updated object storage ideal cost effective scaleout storage
ASN.1 Tools for C,oss asn tools c complete development toolkit rapidly building applications using asn
Perfecto Mobile,perfecto leading testing platform web mobile apps access cloud endtoend testing anywhere world test real mobile devices vms real macs simulators emulators
Spring.net,open source springnet application framework provides comprehensive infrastructural support developing enterprise net applications allows remove incidental complexity using base class libraries makes best practices test driven development easy practices
ExamDiff,examdiff pro commercial software utility visual file directory comparison microsoft windows examdiff pro doublepane view allows sidebyside comparisons colorcoded line numbers indicating whether line added deleted changed
Telerik DevCraft,devcraft software development tooling collection net ui controls javascript ui components web desktop mobile applications reporting report management solutions automated testing mocking tools telerik kendo ui suites
Kendo UI,kendo ui comprehensive html user interface framework building interactive highperformance websites applications comes library ui widgets abundance datavisualization gadgets clientside data source builtin mvvm modelviewviewmodel library
MKS Implementer,implementer premier software configuration management solution ibm iseries
Rancher,rancher complete software stack teams adopting containers addresses operational security challenges managing multiple kubernetes clusters providing devops teams integrated tools running containerized workloads
FME Server,automate data integration using fme server ability connect hundreds systems including best support spatial data
DevOps Suite,sapien devops suite offers current versions sapien technologies desktop software tools primalscript powershell studio versionrecall primalsql primalxml powershell helpwriter wmi explorer powershell modulemanager
Scandit SDK,sdk transforms smartphones tablets wearable devices enterprisegrade barcode scanners advanced technology leverages computing power common mobile devices deliver unprecedented scanning speed accuracy principal highperformance easytouse features software brings enterprisegrade application
Ext JS,ext js pure javascript application framework building interactive cross platform web applications using techniques ajax dhtml dom scripting
TOSCA,tricentis tosca automated continuous testing resilient regression testing across architecture application stack speed change
API Manager,wso api manager complete solution designing publishing apis creating managing developer community scalably routing apitraffic
JRebel Enterprise,jrebel jvm plugin streamlines java application development skipping timeconsuming build redeploy steps jrebel developers view code changes real time preserve application state increase coding efficiency
UNIX Packages,centralized management system ubiquiti unifi ap
Pivotal,pivotaltools help customers manage big data build applications using data analyze
Micro Focus Visual COBOL,oracle exclusive provider micro focus cobol compilers peoplesoft applications certification new visual cobol compiler last year oracle announced server express net express would supported past december
Soterre,soterre version control solution qlik sense helps better understand changes made qlik objects app saves time easily restoring previous version qlik object edited deleted
Qtest,tricentis qtest offers suite agile testing tools designed improve efficiency ensure collaboration journey release best software
Bamboo,atlassian bamboo continuous integration ci continuous delivery cd server bamboo assists software development teams providing automated building testing software sourcecode status updates successfulfailed builds
Bitbucket,bitbucket git repository management solution designed professional teams gives central place manage git repositories collaborate source code guide development flow provides awesome features include acces control restrict access source code
Helm,kubernates package manager
Java,programming language
Java Android,programming language
Java Script,programming language
Node.js,javascript runtime engine
React Boilerplate,template react applications
ReactJS,single page application user interfact builder
ReactNative,native android ios development platform
Redux,application state management
Spring Boot & Spring Reactor,services microservices
Styled Components,stylesheet builder react based application
Swift,programming language macos ios
Tempo for Spots,tempo spots designed use production workflows retiming normalizing shortform content like spots using automated workflows vantage tempo spots mode tempo excels normalizing shortform content automated fashion ability process normalizeretime files blazing speed executed lightspeed hardware tempo solution retiming filebased content intelligently decreasing increasing running time shows segments tempo utilizes sophisticated video audio time compression algorithms deliver superior quality faster turnaround times tempo runs vantage media processing platform offers benefits complete integration worlds best workflow management transcoding system
Bluejeans Integration,digital marketing agency things differently strive design things useful love make things theyre supposed smart experienced partners solving problems building business delivering results better together web marketing strategy user experience design design marketing automation development ongoing support web
Pubnub Room Messaging platform,pubnub chat offers easytouse sdks add inapp chat mobile web applications get running quickly rich chat features flexibility add custom enhancements suit unique needs business customers
SD Cloud,cloudbased sandboxes transforming network infrastructure services saas platform providing ondemand custom design experience learning sandbox environments accelerate transformation network infrastructure services
BrowserStack Enterprise,browserstack cloud web mobile testing platform enables developers test websites mobile applications across ondemand browsers operating systems real mobile devices without requiring users install maintain internal lab virtual machines devices emulators browserstack enterprise automate mobile includes unlimited live screenshots responsive testing unlimited screenshots via api unlimited automate desktop unlimited automate mobile sso integrations access control usage analytics ip whitelisting users parallels browserstack enterprise app automate includes unlimited interactive app testing real ios android devices natural gestures interactions access app device logs local testing unlimited appium testing sso integrations access control usage users parallels
Particular Platform,build better net service solutions using integrated comprehensive platform focus developing solutions unique features enjoying outofthebox benefits particular service platform nservicebus messaging workflow serviceinsight advanced debugging servicepulse production monitoring
Losant IoT Platform,losant enterprise iot platform application enablement platform allows enterprises effectively build applications securely scale millions devices realtime stream processing batch processing capabilities users create dynamic experiences perform complex analytics provide device management data collection visualization reaction workflows realtime cat customer deployments used critical asset tracking cat licensing professional services annual platform support fee
Continuous Testing,previously experitest quality assurance tools mobile devops including manual testing performance testing load testing monitoring mobile applications experitest tools support mobile os ios android windows phone blackberry
Akana Platform,provides crossplatform software development tools embedded components parallel dataintensive highperformance computing hpc applications akana enterprise api platform provides endtoend full lifecycle api management solution designing implementing securing managing monitoring publishing apis
